-0.2200,-1.3100,1.0187
3.1000,-0.0500,-0.1990
1.7800,0.9900,-0.6086
1.7100,-1.1100,0.6197
-2.2600,1.7900,-0.4801
-3.0600,-0.2200,0.8031
3.7100,-3.4300,1.6719
-2.3700,-2.1300,1.8097
2.5400,2.9600,-1.8627
-2.2900,3.5600,-1.5023
-3.6600,-0.0500,0.7925
2.3700,0.0100,-0.1267
-2.6200,0.2800,0.4485
3.2700,-3.7200,1.9047
-1.1300,-0.8300,0.8738
-1.2800,1.6500,-0.5426
-1.3300,1.3000,-0.3323
3.3100,3.8400,-2.4860
-3.7400,0.2400,0.6360
-2.3300,0.9800,0.0000
1.5600,-2.3600,1.3667
2.3800,1.8900,-1.2186
-1.6100,-1.7100,1.4546
3.3600,-2.7400,1.3231
1.0800,2.8700,-1.5963
2.4400,1.8900,-1.2274
0.1200,-2.1800,1.4735
2.2300,-2.6900,1.4598
1.3200,1.0700,-0.5875
3.6000,-0.6200,0.0583
3.9400,0.9600,-0.9080
-1.7600,2.4600,-0.9420
1.4700,2.5800,-1.4853
-0.9100,2.6900,-1.2001
-3.8200,-1.2000,1.4829
0.8200,3.9500,-2.1846
0.7100,3.9300,-2.1569
-1.1100,-3.1900,2.2397
-3.9500,-3.4100,2.7838
2.3500,-0.3300,0.0734
-1.9600,3.3800,-1.4463
-3.6000,-1.6000,1.6827
-0.7100,1.5200,-0.5508
-2.3300,-3.9400,2.8536
1.2300,-3.5900,2.1285
-1.9600,-3.0100,2.2599
0.2800,-0.2100,0.3074
2.9300,1.8200,-1.2587
2.7800,-3.7700,2.0055
3.5800,3.8000,-2.5024
-1.6000,2.0800,-0.7451
2.6200,0.7800,-0.6100
-2.6300,3.2400,-1.2668
2.8100,2.1700,-1.4441
-2.3400,-3.2600,2.4607
3.6300,0.9900,-0.8799
-1.1800,-1.5800,1.3161
2.9900,-3.6400,1.8993
2.6700,-3.7400,2.0043
-3.6700,-0.3400,0.9621
-1.3100,-2.1800,1.6832
-2.4600,-1.5900,1.5097
1.1300,-1.8200,1.1165
-2.4700,2.0200,-0.5827
2.8900,3.2200,-2.0648
1.7500,0.0000,-0.0300
-3.3600,-3.7200,2.8771
0.9200,-3.1700,1.9303
3.9000,3.6400,-2.4565
0.5500,3.2400,-1.7332
3.4100,-0.7700,0.1731
-2.0400,3.6500,-1.5911
0.7400,-0.8600,0.6169
-3.2800,-0.2200,0.8353
1.8900,1.1700,-0.7291
0.1200,3.1300,-1.6063
2.6400,1.0200,-0.7521
-2.4700,-1.7400,1.5981
1.4200,3.3700,-1.9362
-0.9000,1.1000,-0.2793
-0.0800,3.2700,-1.6582
2.4700,-3.6000,1.9524
-3.8200,-1.1200,1.4365
2.9200,-0.2400,-0.0624
3.1900,-0.1900,-0.1310
0.6900,-2.6300,1.6509
3.2800,3.7800,-2.4468
-0.8100,-3.7800,2.5379
-0.3000,1.3400,-0.5065
3.6900,-2.4500,1.1065
-1.0700,1.6500,-0.5734
3.9800,1.1700,-1.0357
-3.9100,2.3300,-0.5513
1.3200,-2.3400,1.3903
-1.8200,1.4700,-0.3590
-2.7900,2.1800,-0.6285
0.2300,-2.2600,1.5037
1.6700,-3.1100,1.7855
1.1000,-0.9400,0.6105
1.6300,1.1000,-0.6504
2.0500,-0.0600,-0.0392
3.7800,3.3500,-2.2707
-1.4800,2.5300,-1.0237
1.9400,1.0500,-0.6669
0.8000,1.1900,-0.5809
3.0700,-3.4500,1.7774
-3.9400,2.6500,-0.7325
2.8000,3.3900,-2.1502
-3.8300,-2.9000,2.4704
-1.0800,1.4800,-0.4733
0.0900,0.5800,-0.1229
-3.2200,-3.9800,3.0073
3.2700,0.8500,-0.7459
1.0700,-0.3900,0.2959
-1.6200,0.5400,0.1511
-0.1500,2.7500,-1.3463
3.7600,-3.3200,1.6008
3.6600,-1.8400,0.7571
-0.6300,-1.4900,1.1833
3.5300,2.6100,-1.8049
1.2900,-3.9400,2.3227
1.4700,1.7200,-0.9865
1.9000,-2.4700,1.3806
1.0000,-3.7500,2.2550
-0.6100,-1.7200,1.3137
0.9200,-0.5500,0.4107
-0.5800,3.8800,-1.9387
1.1200,0.0400,0.0392
2.1700,-0.2300,0.0418
-2.5500,-0.5600,0.9255
-2.6500,0.8900,0.0991
-1.5200,-0.6100,0.8034
-1.3400,2.3100,-0.9166
-1.6100,-2.4000,1.8548
-0.0400,-1.5100,1.1083
-3.5800,3.7200,-1.4059
-2.6200,-3.3900,2.5771
0.9000,-1.0500,0.7037
1.5200,0.5800,-0.3327
3.2100,-1.1100,0.3997
-3.8500,-2.9300,2.4907
-3.8500,2.5500,-0.6877
-0.7700,1.6400,-0.6116
-1.7500,0.0000,0.4833
1.7000,-0.2200,0.1049
-0.3900,2.7800,-1.3285
-0.4300,-3.3600,2.2385
1.0000,-0.7400,0.5092
-3.5700,-0.7400,1.1795
-3.5300,-3.9300,3.0238
-3.8600,2.5600,-0.6920
1.9000,2.1100,-1.2758
-0.7200,0.4700,0.0597
3.4900,-1.8800,0.8052
3.7100,-0.6300,0.0479
2.5100,3.9600,-2.4383
-0.1100,2.8300,-1.3986
2.6700,-2.4500,1.2561
1.2100,3.6400,-2.0620
